city,description,latitude,longitude,name,score,url
Mont-Saint-Michel,Hébergement géré par un particulier,48.615795,-1.488712,L'Hirondelle,"Avec une note de 8,7",https://www.booking.com/hotel/fr/l-39-hirondelle-pontorson.fr.html?aid=356980&label=gog235jc-10CAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWANoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCs8m0xwbAAgHSAiQ3ZTU1ZGNmYy03ZTY2LTQyZWUtYmVkMC1iOWRmMWU2ZThkY2XYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=5ac171d979390373&srepoch=1760371892&from=searchresults
Saint-Malo,"Situé côté océan, le Grand Hôtel Des Thermes est un établissement de style Belle Époque doté d’un spa et d’une piscine intérieure. ",48.65783788062638,-1.9993454217910767,Grand Hôtel Des Thermes,"Avec une note de 8,6",https://www.booking.com/hotel/fr/desthermessaintmalo.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from_sustainable_property_sr=1&from=searchresults
Saint-Malo,"Doté d’une connexion Wi-Fi gratuite, l’hébergement Le Nuage Malouin - Appt à 300m de la plage se trouve dans le centre de Saint-Malo, à respectivement 400 mètres et 500 mètres de ces lieux d’intérêt :...",48.6477612376351,-2.02488974285278,Le Nuage Malouin - Appt à 300m de la plage,"Avec une note de 9,2",https://www.booking.com/hotel/fr/le-nuage-malouin-appt-a-300m-de-la-plage.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from=searchresults
Saint-Malo,Hébergement géré par un particulier,48.6553797,-2.0032769,Studio cocooning,"Avec une note de 9,0",https://www.booking.com/hotel/fr/studio-cocooning-saint-malo.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from=searchresults
Saint-Malo,L’établissement L'AccrocheCoeur bénéficie d’un emplacement attractif à Saint-Malo. ,48.64812105122637,-2.026979169311516,L'AccrocheCoeur,"Avec une note de 9,2",https://www.booking.com/hotel/fr/l-39-accrochecoeur.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from=searchresults
Saint-Malo,"L’hébergement Cap Vauban - Duplex à 200m de la plage vous accueille à Saint-Malo, à respectivement 200 mètres, 600 mètres et 800 mètres de ces lieux d’intérêt : Grande plage du Sillon, Palais du Grand...",48.6522219,-2.0120412,Cap Vauban - Duplex à 200m de la plage,"Avec une note de 9,1",https://www.booking.com/hotel/fr/cap-vauban-duplex-a-200m-de-la-plage.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from=searchresults
Saint-Malo,"L'hôtel Ajoncs d'Or se situe au cœur des remparts historiques de la ville fortifiée de Saint-Malo, à 350 mètres du port de plaisance de la ville. Vous bénéficierez gratuitement d'une connexion Wi-Fi. ",48.64735692105968,-2.0251965522766113,Hotel Ajoncs d'Or,"Avec une note de 8,5",https://www.booking.com/hotel/fr/ajoncsdor.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from=searchresults
Saint-Malo,"L'Alba hotel est situé à Saint-Malo, en face de la plage et à côté du port. L’établissement propose un bar et des chambres offrant une vue sur la mer. Le bar est ouvert tous les jours de 11h15 à...",48.65649842379835,-2.003427743911743,Alba hotel,"Avec une note de 8,7",https://www.booking.com/hotel/fr/alba-saint-malo.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from=searchresults
Saint-Malo,"L’Hôtel De La Cite se trouve au cœur de Saint-Malo, à seulement 350 mètres du port de plaisance. Vous pourrez profiter d’une connexion Wi-Fi gratuite et de chambres donnant sur la mer. ",48.651301490517994,-2.0251107215881348,Hôtel de la Cité,"Avec une note de 8,1",https://www.booking.com/hotel/fr/de-la-cite.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from=searchresults
Saint-Malo,Hébergement géré par un particulier,48.65428,-2.008628,"Emeraude, pleine vue de mer","Avec une note de 9,4",https://www.booking.com/hotel/fr/emeraude-saint-malo.fr.html?aid=356980&label=gog235jc-10CAQoggJCEXNlYXJjaF9zYWludC1tYWxvSA1YA2hNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK4ybTHBsACAdICJDRkZDE5MzJmLTRkNzAtNDVlOS1iNDY5LTE0OTBkOWFiNDJhMdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=2eef71dc5ecb0599&srepoch=1760371897&from=searchresults
